dtype,direction,method,metric,median,n_seeds
float16,fwd,sdpa,acc_rel,2.688987e-04,10
float16,fwd,sdpa_mem,acc_rel,2.691152e-04,10
float16,fwd,flash,acc_rel,2.689151e-04,10
float16,fwd,cqsa_host_itr1,acc_rel,1.701855e-04,10
float16,fwd,cqsa_host_itr2,acc_rel,1.680046e-04,10
float16,bwd,sdpa,acc_rel,3.070422e-04,10
float16,bwd,sdpa,acc_rel_dq,3.070422e-04,10
float16,bwd,sdpa,acc_rel_dk,3.022312e-04,10
float16,bwd,sdpa,acc_rel_dv,2.895783e-04,10
float16,bwd,sdpa_mem,acc_rel,3.734788e-04,10
float16,bwd,sdpa_mem,acc_rel_dq,3.734788e-04,10
float16,bwd,sdpa_mem,acc_rel_dk,3.675468e-04,10
float16,bwd,sdpa_mem,acc_rel_dv,2.903455e-04,10
float16,bwd,flash,acc_rel,3.070140e-04,10
float16,bwd,flash,acc_rel_dq,3.070140e-04,10
float16,bwd,flash,acc_rel_dk,3.021910e-04,10
float16,bwd,flash,acc_rel_dv,2.895549e-04,10
float16,bwd,cqsa_host_itr1,acc_rel,3.075008e-04,10
float16,bwd,cqsa_host_itr1,acc_rel_dq,3.075008e-04,10
float16,bwd,cqsa_host_itr1,acc_rel_dk,3.026969e-04,10
float16,bwd,cqsa_host_itr1,acc_rel_dv,2.891418e-04,10
float16,bwd,cqsa_host_itr2,acc_rel,3.079986e-04,10
float16,bwd,cqsa_host_itr2,acc_rel_dq,3.079986e-04,10
float16,bwd,cqsa_host_itr2,acc_rel_dk,3.019060e-04,10
float16,bwd,cqsa_host_itr2,acc_rel_dv,2.881090e-04,10
bfloat16,fwd,sdpa,acc_rel,2.157296e-03,10
bfloat16,fwd,sdpa_mem,acc_rel,2.153262e-03,10
bfloat16,fwd,flash,acc_rel,2.156827e-03,10
bfloat16,fwd,cqsa_host_itr1,acc_rel,1.368274e-03,10
bfloat16,fwd,cqsa_host_itr2,acc_rel,1.350246e-03,10
bfloat16,bwd,sdpa,acc_rel,2.448903e-03,10
bfloat16,bwd,sdpa,acc_rel_dq,2.448903e-03,10
bfloat16,bwd,sdpa,acc_rel_dk,2.413391e-03,10
bfloat16,bwd,sdpa,acc_rel_dv,2.309049e-03,10
bfloat16,bwd,sdpa_mem,acc_rel,2.986464e-03,10
bfloat16,bwd,sdpa_mem,acc_rel_dq,2.986464e-03,10
bfloat16,bwd,sdpa_mem,acc_rel_dk,2.930523e-03,10
bfloat16,bwd,sdpa_mem,acc_rel_dv,2.308774e-03,10
bfloat16,bwd,flash,acc_rel,2.448886e-03,10
bfloat16,bwd,flash,acc_rel_dq,2.448886e-03,10
bfloat16,bwd,flash,acc_rel_dk,2.413492e-03,10
bfloat16,bwd,flash,acc_rel_dv,2.309119e-03,10
bfloat16,bwd,cqsa_host_itr1,acc_rel,2.453525e-03,10
bfloat16,bwd,cqsa_host_itr1,acc_rel_dq,2.453525e-03,10
bfloat16,bwd,cqsa_host_itr1,acc_rel_dk,2.424854e-03,10
bfloat16,bwd,cqsa_host_itr1,acc_rel_dv,2.312481e-03,10
bfloat16,bwd,cqsa_host_itr2,acc_rel,2.457041e-03,10
bfloat16,bwd,cqsa_host_itr2,acc_rel_dq,2.457041e-03,10
bfloat16,bwd,cqsa_host_itr2,acc_rel_dk,2.413790e-03,10
bfloat16,bwd,cqsa_host_itr2,acc_rel_dv,2.311052e-03,10
