experiment,direction,N,method,itr,seconds,peak_gib,source,forced
e23,fwd,8192,sdpa,None,0.001,0.047,rewarm_20260817,no
e23,fwd,8192,sdpa_mem,None,0.001,0.055,rewarm_20260817,no
e23,fwd,8192,flash,None,0.001,0.055,rewarm_20260817,no
e23,fwd,8192,cqsa_accgpu,1,0.034,0.051,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,8192,cqsa_accgpu,2,0.121,0.040,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,8192,cqsa_acccpu,1,0.084,0.020,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,16384,sdpa,None,0.002,0.102,rewarm_20260817,no
e23,fwd,16384,sdpa_mem,None,0.004,0.102,rewarm_20260817,no
e23,fwd,16384,flash,None,0.002,0.102,rewarm_20260817,no
e23,fwd,16384,cqsa_accgpu,1,0.051,0.109,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,16384,cqsa_accgpu,2,0.161,0.073,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,16384,cqsa_acccpu,1,0.163,0.048,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,32768,sdpa,None,0.007,0.196,rewarm_20260817,no
e23,fwd,32768,sdpa_mem,None,0.014,0.195,rewarm_20260817,no
e23,fwd,32768,flash,None,0.006,0.196,rewarm_20260817,no
e23,fwd,32768,cqsa_accgpu,1,0.093,0.210,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,32768,cqsa_accgpu,2,0.244,0.138,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,32768,cqsa_acccpu,1,0.311,0.089,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,65536,sdpa,None,0.028,0.385,rewarm_20260817,no
e23,fwd,65536,sdpa_mem,None,0.064,0.383,rewarm_20260817,no
e23,fwd,65536,flash,None,0.027,0.385,rewarm_20260817,no
e23,fwd,65536,cqsa_accgpu,1,0.169,0.413,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,65536,cqsa_accgpu,2,0.414,0.268,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,65536,cqsa_acccpu,1,0.669,0.170,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,131072,sdpa,None,0.112,0.762,rewarm_20260817,no
e23,fwd,131072,sdpa_mem,None,0.228,0.758,rewarm_20260817,no
e23,fwd,131072,flash,None,0.108,0.762,rewarm_20260817,no
e23,fwd,131072,cqsa_accgpu,1,0.335,0.818,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,131072,cqsa_accgpu,2,0.730,0.528,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,131072,cqsa_acccpu,1,1.340,0.332,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,262144,sdpa,None,0.473,1.516,rewarm_20260817,no
e23,fwd,262144,sdpa_mem,None,0.942,1.508,rewarm_20260817,no
e23,fwd,262144,flash,None,0.454,1.516,rewarm_20260817,no
e23,fwd,262144,cqsa_accgpu,1,0.937,1.628,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,262144,cqsa_accgpu,2,1.338,1.049,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,262144,cqsa_acccpu,1,3.215,0.656,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,524288,sdpa,None,1.914,2.524,sweep_fp16_le4M_20260816,no
e23,fwd,524288,sdpa_mem,None,3.700,2.508,sweep_fp16_le4M_20260816,no
e23,fwd,524288,flash,None,1.858,2.524,sweep_fp16_le4M_20260816,no
e23,fwd,524288,cqsa_accgpu,1,3.416,3.247,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,524288,cqsa_accgpu,2,3.710,2.090,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,524288,cqsa_acccpu,1,7.626,1.304,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,1048576,sdpa,None,7.905,5.039,sweep_fp16_le4M_20260816,no
e23,fwd,1048576,sdpa_mem,None,14.948,5.008,sweep_fp16_le4M_20260816,no
e23,fwd,1048576,flash,None,7.894,5.039,sweep_fp16_le4M_20260816,no
e23,fwd,1048576,cqsa_accgpu,1,14.203,6.487,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,1048576,cqsa_accgpu,2,14.834,4.172,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,1048576,cqsa_acccpu,1,21.192,2.600,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,2097152,sdpa,None,32.348,10.070,sweep_fp16_le4M_20260816,no
e23,fwd,2097152,sdpa_mem,None,60.663,10.008,sweep_fp16_le4M_20260816,no
e23,fwd,2097152,flash,None,32.313,10.070,sweep_fp16_le4M_20260816,no
e23,fwd,2097152,cqsa_accgpu,1,52.480,12.966,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,2097152,cqsa_accgpu,2,65.199,8.336,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,2097152,cqsa_acccpu,1,66.425,5.191,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,4194304,sdpa,None,131.325,20.133,sweep_fp16_le4M_20260816,no
e23,fwd,4194304,sdpa_mem,None,244.683,20.008,sweep_fp16_le4M_20260816,no
e23,fwd,4194304,flash,None,130.004,20.133,sweep_fp16_le4M_20260816,no
e23,fwd,4194304,cqsa_accgpu,1,202.714,25.924,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,4194304,cqsa_accgpu,2,240.217,16.664,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,4194304,cqsa_acccpu,1,228.221,10.374,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,8388608,sdpa,None,519.632,40.250,sweep_big_20260817,no
e23,fwd,8388608,sdpa_mem,None,965.932,40.008,sweep_big_20260817,no
e23,fwd,8388608,flash,None,532.339,40.258,sweep_big_20260817,no
e23,fwd,8388608,cqsa_accgpu,1,801.589,51.839,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,8388608,cqsa_accgpu,2,914.223,33.320,e23_fp16_accgpu_le8M_20260824,no
e23,fwd,8388608,cqsa_acccpu,1,845.634,20.741,e23_fp16_le8M_itr1_20260824,yes
e23,fwd,16777216,cqsa_accgpu,2,3544.197,66.625,e23_fp16_accgpu_16M_20260824,no
e23,fwd,16777216,cqsa_acccpu,1,3277.368,41.466,e23_fp16_acccpu_16Mfwd_depths_20260825,no
e23,bwd,8192,sdpa,None,0.002,0.126,rewarm_20260817,no
e23,bwd,8192,sdpa_mem,None,0.005,0.118,rewarm_20260817,no
e23,bwd,8192,flash,None,0.002,0.110,rewarm_20260817,no
e23,bwd,8192,cqsa_accgpu,1,0.063,0.107,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,8192,cqsa_accgpu,2,0.245,0.082,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,8192,cqsa_acccpu,1,0.121,0.060,e23_fp16_bwd_smallN_warm_20260825,yes
e23,bwd,16384,sdpa,None,0.006,0.243,rewarm_20260817,no
e23,bwd,16384,sdpa_mem,None,0.017,0.228,rewarm_20260817,no
e23,bwd,16384,flash,None,0.006,0.212,rewarm_20260817,no
e23,bwd,16384,cqsa_accgpu,1,0.088,0.213,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,16384,cqsa_accgpu,2,0.309,0.163,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,16384,cqsa_acccpu,1,0.219,0.119,e23_fp16_bwd_smallN_warm_20260825,yes
e23,bwd,32768,sdpa,None,0.025,0.479,rewarm_20260817,no
e23,bwd,32768,sdpa_mem,None,0.066,0.447,rewarm_20260817,no
e23,bwd,32768,flash,None,0.024,0.416,rewarm_20260817,no
e23,bwd,32768,cqsa_accgpu,1,0.154,0.426,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,32768,cqsa_accgpu,2,0.429,0.326,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,32768,cqsa_acccpu,1,0.406,0.238,e23_fp16_bwd_smallN_warm_20260825,yes
e23,bwd,65536,sdpa,None,0.101,0.949,rewarm_20260817,no
e23,bwd,65536,sdpa_mem,None,0.259,0.887,rewarm_20260817,no
e23,bwd,65536,flash,None,0.095,0.824,rewarm_20260817,no
e23,bwd,65536,cqsa_accgpu,1,0.349,0.852,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,65536,cqsa_accgpu,2,0.696,0.652,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,65536,cqsa_acccpu,1,0.883,0.475,e23_fp16_bwd_smallN_warm_20260825,yes
e23,bwd,131072,sdpa,None,0.401,1.891,rewarm_20260817,no
e23,bwd,131072,sdpa_mem,None,1.075,1.766,rewarm_20260817,no
e23,bwd,131072,flash,None,0.380,1.641,rewarm_20260817,no
e23,bwd,131072,cqsa_accgpu,1,1.030,1.705,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,131072,cqsa_accgpu,2,1.388,1.304,e23_fp16_bwd_smallN_warm_20260825,no
e23,bwd,131072,cqsa_acccpu,1,3.082,0.950,e23_fp16_bwd_smallN_warm_20260825,yes
e23,bwd,262144,sdpa,None,1.641,3.774,rewarm_20260817,no
e23,bwd,262144,sdpa_mem,None,4.450,3.524,rewarm_20260817,no
e23,bwd,262144,flash,None,1.566,3.274,rewarm_20260817,no
e23,bwd,262144,cqsa_accgpu,1,4.557,3.409,e23_fp16_bwd_pinned_20260825,no
e23,bwd,262144,cqsa_accgpu,2,5.002,2.609,e23_fp16_bwd_pinned_20260825,no
e23,bwd,262144,cqsa_acccpu,1,7.363,1.900,e23_fp16_bwd_pinned_20260825,yes
e23,bwd,524288,sdpa,None,6.459,6.039,sweep_fp16_le4M_20260816,no
e23,bwd,524288,sdpa_mem,None,18.467,5.540,sweep_fp16_le4M_20260816,no
e23,bwd,524288,flash,None,6.197,5.039,sweep_fp16_le4M_20260816,no
e23,bwd,524288,cqsa_accgpu,1,14.839,6.818,e23_fp16_bwd_pinned_20260825,no
e23,bwd,524288,cqsa_accgpu,2,16.352,5.217,e23_fp16_bwd_pinned_20260825,no
e23,bwd,524288,cqsa_acccpu,1,20.579,3.801,e23_fp16_bwd_pinned_20260825,yes
e23,bwd,1048576,sdpa,None,26.314,12.070,sweep_fp16_le4M_20260816,no
e23,bwd,1048576,sdpa_mem,None,77.822,11.072,sweep_fp16_le4M_20260816,no
e23,bwd,1048576,flash,None,25.287,10.070,sweep_fp16_le4M_20260816,no
e23,bwd,1048576,cqsa_accgpu,1,56.233,13.636,e23_fp16_bwd_pinned_20260825,no
e23,bwd,1048576,cqsa_accgpu,2,65.507,10.434,e23_fp16_bwd_pinned_20260825,no
e23,bwd,1048576,cqsa_acccpu,1,65.966,7.602,e23_fp16_bwd_pinned_20260825,yes
e23,bwd,2097152,sdpa,None,106.415,24.133,sweep_fp16_le4M_20260816,no
e23,bwd,2097152,sdpa_mem,None,3859.560,22.137,sweep_fp16_le4M_20260816,no
e23,bwd,2097152,flash,None,101.446,20.133,sweep_fp16_le4M_20260816,no
e23,bwd,2097152,cqsa_accgpu,1,215.704,27.273,e23_fp16_bwd_pinned_20260825,no
e23,bwd,2097152,cqsa_accgpu,2,256.090,20.867,e23_fp16_bwd_pinned_20260825,no
e23,bwd,2097152,cqsa_acccpu,1,234.711,15.203,e23_fp16_bwd_pinned_20260825,yes
e23,bwd,4194304,sdpa,None,428.738,48.258,sweep_fp16_le4M_20260816,no
e23,bwd,4194304,sdpa_mem,None,15421.173,44.266,sweep_fp16_le4M_20260816,no
e23,bwd,4194304,flash,None,407.113,40.258,sweep_fp16_le4M_20260816,no
e23,bwd,4194304,cqsa_accgpu,1,847.006,54.545,e23_fp16_bwd_pinned_20260825,no
e23,bwd,4194304,cqsa_accgpu,2,982.782,41.734,e23_fp16_bwd_pinned_20260825,no
e23,bwd,4194304,cqsa_acccpu,1,884.533,30.407,e23_fp16_bwd_pinned_20260825,yes
e23,bwd,8388608,cqsa_acccpu,1,3437.173,60.813,e23_fp16_bwd_pinned_20260825,no
e23,bwd,16777216,cqsa_acccpu,2,15847.415,70.412,e23_fp16_acccpu_16Mbwd_itr2_20260825,no
